no,notes,Rufa_subpop,track_data,movebank_name,move_bank_no. ,Project,LotekSerialNum,Program_number,tag-manufacturer-name,tag-model,tag-mass,repetition_no,duty-cycle,tag-comment,ArgosID,attachment_type,deployment-comment,deploy-on-person,deploy-on-latitude,deploy-on-longitude,,Banding_or_recapture_Date,deploy-on-timestamp,Location,Band Number,animal-marker-id,animal-id,Code,AGE,SEX,deploy-on-measurements,WEIGHT,FIRE TIME,Lapsed minutes,deploy_d,deploy_m,deply_y
0,,,,,,to be split by study,tag-serial-no,Program_number,tag-manufacturer-name,tag-model,tag-mass,tag-beacon-frequency,duty-cycle,tag-comment,tag-id,attachment_type,deployment-comment,deploy-on-person,deploy-on-latitude,deploy-on-longitude,deployment-id,deploy-on-date,deploy-on-timestamp,study-site,animal-ring-id,animal-marker-id,animal-id,Code,animal-life-stage,animal-sex,deploy-on-measurements,animal-mass,capture-timestamp,capture-handling-time,,,
,,,not_deployed,,,ECCC,,,,,,,,,261444,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,261445,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,261446,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,261447,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,261448,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,261449,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,261450,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,261451,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,261452,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,261453,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,262940,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,262941,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,262942,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,262943,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,262944,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,262945,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,262946,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,262947,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,262948,,,,,,,,,,,,,,,,,,,,,,
,no_location_data,,failed,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,6369C26,,Microwave Telemetry,2gSolarPTT,2,60,,signal failed-Bird resighted later,863,neck-loop harness,,,50.192778,-63.745278,,2020/08/22,2020/08/22 00:00:00.00,MINGAN_NIAPISKAU,802-64791,,,FEW(MAJ),HY,M," '{culmenInmillimeters:34.5, theadInMillimeters: , wingInMillimeters: 160}'",131.0,,,,,
,no_location_data,,,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,6369C35,,Lotek,Loteck 5/PPT-10,4,60,,,180290,glued,,,50.192778,-63.745278,,2020/08/22,2020/08/22 00:00:00.00,MINGAN_NIAPISKAU,802-64790,,,FEW(MAK),AHY,M," '{culmenInmillimeters:32.9, theadInMillimeters: , wingInMillimeters: 167}'",130.5,,,,,
,no_location_data,,,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,6369C4C,,Lotek,Loteck 5/PPT-10,4,60,,,180291,neck-loop harness,,,50.193056,-63.854722,,2020/10/02,2020/10/02 00:00:00.00,MINGAN_GRANDE,9802-82365,,,FEW(MCM),HY,F," '{culmenInmillimeters:35.4, theadInMillimeters: , wingInMillimeters: 160}'",129.4,,,,,
